Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
75193,75193:  Millennium Falcon Microfighter,1 Jan 2018 - 31 Jul 2019 (1y 6m 28d),"$9.99, €9.99 | More",~€13.87,~€8.61,✭✭✭✭✩ 3.8 563 ratings 6 reviews Brickset review
75194,75194:  First Order TIE Fighter Microfighter,1 Jan 2018 - 31 Jul 2019 (1y 6m 28d),"$9.99, €9.99 | More",~€12.43,~€8.48,✭✭✭✭✩ 3.7 380 ratings 2 reviews Brickset review
75195,75195:  Ski Speeder vs. First Order Walker Microfighters,1 Jan 2018 - 31 Dec 2018 (11m 29d),"$19.99, €19.99 | More",~€22.63,~€13.41,✭✭✭✭✩ 3.6 325 ratings 2 reviews Brickset review
75196,75196:  A-Wing vs. TIE Silencer Microfighters,1 Jan 2018 - 31 Dec 2019 (1y 11m 28d),"$19.99, €19.99 | More",~€25.35,~€15.73,✭✭✭✭✩ 3.7 386 ratings 2 reviews Brickset review
75197,75197:  First Order Specialists Battle Pack,1 Jan 2018 - 31 Dec 2018 (11m 29d),"$14.99, €16.99 | More",~€23.10,~€15.21,✭✭✭✭✩ 3.6 559 ratings 6 reviews Brickset review
75198,75198:  Tatooine Battle Pack,1 Jan 2018 - 31 Dec 2018 (11m 29d),"$14.99, €16.99 | More",~€26.65,~€20.06,✭✭✭✭✩ 3.8 648 ratings 6 reviews Brickset review
75199,75199:  General Grievous' Combat Speeder,1 Jan 2018 - 31 Dec 2019 (1y 11m 28d),"$29.99, €29.99 | More",~€68.40,~€35.19,✭✭✭✩✩ 3.2 486 ratings 7 reviews Brickset review
75200,75200:  Ahch-To Island Training,1 Jan 2018 - 31 Dec 2019 (1y 11m 28d),"$29.99, €29.99 | More",~€33.29,~€21.37,✭✭✭✭✩ 3.9 766 ratings 7 reviews Brickset review
75201,75201:  First Order AT-ST,1 Jan 2018 - 31 Dec 2018 (11m 29d),"$39.99, €59.99 | More",~€69.47,~€40.63,✭✭✭✩✩ 2.9 250 ratings 3 reviews Brickset review
75202,75202:  Defense of Crait,1 Jan 2018 - 31 Dec 2018 (11m 29d),"$84.99, €79.99 | More",~€77.51,~€58.60,✭✭✭✭✩ 3.8 273 ratings 4 reviews Brickset review
75203,75203:  Hoth Medical Chamber,1 Aug 2018 - 31 Jul 2019 (11m 29d),"$29.99, €39.99 | More",~€54.94,~€42.15,✭✭✭✭✩ 4.0 353 ratings 1 review Brickset review
75204,75204:  Sandspeeder,Año no disponible,"$29.99, €39.99 | More",~€58.47,~€46.39,✭✭✭✭✩ 3.9 316 ratings 4 reviews Brickset review
75205,75205:  Mos Eisley Cantina,1 Jan 2018 - 31 Dec 2018 (11m 29d),"$39.99, €49.99 | More",~€54.99,~€41.74,✭✭✭✭✩ 3.7 339 ratings 4 reviews Brickset review
75206,75206:  Jedi and Clone Troopers Battle Pack,20 Apr 2018 - 31 Jul 2019 (1y 3m 10d),"$14.99, €16.99 | More",~€43.07,~€30.31,✭✭✭✭✩ 3.5 690 ratings 8 reviews Brickset review
75207,75207:  Imperial Patrol Battle Pack,20 Apr 2018 - 31 Dec 2018 (8m 11d),"$14.99, €16.99 | More",~€25.58,~€22.24,✭✭✭✭✩ 4.0 671 ratings 7 reviews Brickset review
75208,75208:  Yoda's Hut,20 Apr 2018 - 31 Dec 2019 (1y 8m 11d),"$29.99, €29.99 | More",~€43.81,~€26.77,✭✭✭✭✩ 4.0 882 ratings 4 reviews Brickset review
