Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
30449,30449:  The Milano,1 Mar 2017 - 31 Dec 2017 (10m),PVP no disponible,~€7.49,~€3.40,✭✭✭✭✩ 3.8 139 ratings 2 reviews Brickset review
30450,30450:  Royal Talon Fighter,1 Jan 2018 - 31 Dec 2018 (11m 29d),$3.99 | More,~€4.32,~€2.03,✭✭✭✭✩ 3.5 89 ratings 3 reviews
30451,30451:  Spider-Man's Mini Spider Crawler,1 Jan 2019 - 31 Dec 2019 (11m 29d),PVP no disponible,~€8.24,~€1.65,✭✭✭✭✩ 3.7 123 ratings 4 reviews
30452,30452:  Iron Man and Dum-E,31 Mar 2019 - 31 Dec 2020 (1y 9m 1d),PVP no disponible,~€6.35,~€3.40,✭✭✭✭✩ 3.8 259 ratings 5 reviews
30453,30453:  Captain Marvel and Nick Fury,1 Jan 2020 - 31 Dec 2020 (11m 30d),"$4.99, €3.99 | More",~€5.31,~€7.57,✭✭✭✭✩ 3.9 319 ratings 7 reviews Brickset review
30454,30454:  Shang-Chi and The Great Protector,26 Apr 2021 - 31 Dec 2021 (8m 5d),PVP no disponible,~€4.57,~€0.82,✭✭✭✭✩ 3.6 145 ratings 1 review Brickset review
30525,30525:  The Guardians' Ship,3 Mar 2018 - 31 Dec 2018 (9m 29d),"$3.99, €3.49 | More",~€4.22,~€1.39,✭✭✭✭✩ 3.7 178 ratings 5 reviews Brickset review
30610,30610:  Giant-Man Hank Pym,Año no disponible,PVP no disponible,~€21.05,~€13.92,✭✭✭✭✩ 3.6 71 ratings 2 reviews
30652,30652:  Doctor Strange's Interdimensional Portal,1 Feb 2023 - 31 Dec 2023 (10m 28d),$4.99,~€4.28,~€2.99,✭✭✭✭✩ 4.1 163 ratings 5 reviews Brickset review
30679,30679:  Venom Street Bike,1 Feb 2024 - 31 Dec 2024 (10m 29d),PVP no disponible,~€3.81,Precio usado no disponible,✭✭✭✭✩ 3.8 35 ratings
30707,30707:  Venom's Museum Heist,Año no disponible,PVP no disponible,Precio nuevo no disponible,Precio usado no disponible,
40334,40334:  Avengers Tower,31 Mar 2019 - 31 Dec 2019 (9m 1d),$19.99 | More,~€30.77,~€23.61,✭✭✭✭✩ 4.0 234 ratings 2 reviews Brickset review
40343,40343:  Spider-Man and the Museum Break-In,1 Jun 2019 - 31 Dec 2019 (6m 30d),"$14.99, €14.61 | More",~€32.82,~€27.82,✭✭✭✭✩ 3.7 201 ratings 2 reviews Brickset review
40418,40418:  Falcon & Black Widow Team-Up,1 Jun 2020 - 31 Dec 2020 (6m 30d),"$14.99, €14.99 | More",~€13.46,~€11.95,✭✭✭✭✩ 3.7 121 ratings 1 review Brickset review
40454,40454:  Spider-Man versus Venom and Iron Venom,1 Apr 2021 - 31 Dec 2022 (1y 8m 30d),"$14.99, €14.99 | More",~€23.40,~€6.56,✭✭✭✭✩ 3.6 100 ratings
40525,40525:  Endgame Battle,1 Apr 2022 - 31 Dec 2022 (9m),"$14.99, €14.99 | More",~€13.41,Precio usado no disponible,✭✭✭✭✩ 3.9 139 ratings 1 review Brickset review
66635,66635:  Super mech pack,1 Aug 2020 - 31 Dec 2020 (4m 30d),PVP no disponible,~€34.33,Precio usado no disponible,
66671,66671:  Mech Armor Collection,1 Aug 2021 - 31 Dec 2022 (1y 4m 30d),PVP no disponible,~€48.57,Precio usado no disponible,
66711,66711:  Infinity Saga Collection,1 Aug 2022 - 31 Dec 2022 (4m 30d),PVP no disponible,~€67.65,Precio usado no disponible,✭✭✭✭✩ 4.0 20 ratings
66785,66785:  Marvel Universe Gift Set,Año no disponible,PVP no disponible,Precio nuevo no disponible,Precio usado no disponible,
75997,75997:  Ant-Man and the Wasp,Año no disponible,PVP no disponible,~€94.40,~€60.29,1 review
76004,76004:  Spider-Man: Spider-Cycle Chase,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),$19.99 | More,~€34.09,~€14.67,✭✭✭✭✩ 4.0 265 ratings 10 reviews
76005,76005:  Spider-Man: Daily Bugle Showdown,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),$49.99 | More,~€101.73,~€86.21,✭✭✭✭✩ 4.1 210 ratings 3 reviews
76006,76006:  Iron Man: Extremis Sea Port Battle,7 Mar 2013 - 31 Dec 2014 (1y 9m 24d),$19.99 | More,~€41.74,~€23.81,✭✭✭✭✩ 3.4 314 ratings 8 reviews
76007,76007:  Iron Man: Malibu Mansion Attack,7 Mar 2013 - 31 Dec 2014 (1y 9m 24d),$39.99 | More,~€81.26,~€45.25,✭✭✭✭✩ 3.9 245 ratings 4 reviews
76008,76008:  Iron Man vs. The Mandarin: Ultimate Showdown,7 Mar 2013 - 31 Dec 2014 (1y 9m 24d),$12.99 | More,~€31.98,~€19.72,✭✭✭✩✩ 2.9 246 ratings 4 reviews
76014,76014:  Spider-Trike vs. Electro,1 Mar 2014 - 31 Jul 2015 (1y 4m 30d),"$12.99, €14.99 | More",~€20.04,~€10.72,✭✭✭✩✩ 2.9 203 ratings 5 reviews
76015,76015:  Doc Ock Truck Heist,1 Mar 2014 - 31 Dec 2015 (1y 10m),"$19.99, €24.99 | More",~€55.69,~€19.94,✭✭✭✭✩ 3.9 216 ratings 5 reviews
76016,76016:  Spider-Helicopter Rescue,1 Mar 2014 - 31 Jul 2015 (1y 4m 30d),"$44.99, €49.99 | More",~€56.42,~€39.09,✭✭✭✩✩ 3.1 98 ratings 1 review
76017,76017:  Avengers: Captain America vs. Hydra,1 Mar 2014 - 31 Dec 2015 (1y 10m),"$19.99, €24.99 | More",~€35.42,~€15.13,✭✭✭✭✩ 3.7 262 ratings 5 reviews
76018,76018:  Avengers: Hulk Lab Smash,1 Mar 2014 - 31 Dec 2015 (1y 10m),"$49.99, €59.99 | More",~€82.56,~€56.05,✭✭✭✭✩ 3.9 177 ratings 2 reviews
