,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
293,5003084,The Hulk,Año no disponible,2015,,26.037000000000003,18.150000000000002,✭✭✭✭✩ 3.6 101 ratings 3 reviews Brickset review,,
294,5005256,Marvel Super Heroes Minifigure Collection,Año no disponible,2018,,80.69600000000001,65.23,✭✭✭✭✭ 4.4 189 ratings 3 reviews Brickset review,,
295,5009015,Cerebro,Año no disponible,2024,,,,,,
296,6250093,Iron Man Mosaic,Año no disponible,2018,,,,,,
297,6487481,Taxi,Año no disponible,2023,,,,✭✭✭✭✩ 3.6 27 ratings,,
298,6487483,Taxi,Año no disponible,2023,,50.699000000000005,40.821000000000005,,,
299,,Mini Captain Marvel Ship,Año no disponible,,,,,,,
300,,Phoenix (SDCC 2012 exclusive),Año no disponible,,,1039.291,,,,
301,,Spider-Man in Black Symbiote Costume,Año no disponible,,,1738.9460000000001,255.75000000000003,,,
302,,Spider-Woman,Año no disponible,,,4482.456,,,,
303,,Spider-Man,Año no disponible,,,8954.374000000002,,,,
304,,Rocket Raccoon's Warbird,Año no disponible,,39.99,506.3190000000001,171.27,1 review,1166.11,328.28
305,,The Collector,Año no disponible,,,1242.505,,,,
306,,Iron Man Mosaic,Año no disponible,,,,,,,
307,,Iron Man & Captain America (2012 Collectors Preview),Año no disponible,,,,,,,
308,,Throne of Ultron,Año no disponible,,39.99,,,,,
309,,All New Captain America (Sam Wilson),Año no disponible,,,,,,,
310,,Steve Rogers Captain America,Año no disponible,,,,,,,
311,,Deadpool Duck,Año no disponible,,,,,,,
312,,Sheriff Deadpool,Año no disponible,,,,,,,
313,,PS4 Spider-Man,Año no disponible,,,,,,,
314,,Classic Suit Miles Morales,Año no disponible,,,,,,,
315,,Stormbreaker,Año no disponible,,,,,,,
316,,Captain America's Shield,Año no disponible,,,,,,,
317,,Spider-Man,Año no disponible,,,,15.312000000000001,,,
