SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"30790","76383","1","2021","Normal","Harry Potter","Licensed","Hogwarts Moments","Hogwarts Moment: Potions Class","X","76383-1","29.99","24.99","39.99","29.99","14/01/2021 00:00:00","19/11/2022 00:00:00","271","3","Box","Retail","6332775","6332774","5702016912944","","19.1","26.2","6.1","","8","","12782","1743","2","13","X","5","27.2600","19.6900","","01/01/2021 00:00:00","31/12/2022 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"30791","76384","1","2021","Normal","Harry Potter","Licensed","Hogwarts Moments","Hogwarts Moment: Herbology Class","X","76384-1","29.99","27.99","39.99","29.99","14/01/2021 00:00:00","24/01/2022 00:00:00","233","3","Box","Retail","6332777","6332776","5702016912951","","19.1","26.2","6.1","","8","","11489","2008","2","13","X","5","47.8500","35.4100","Nick Vas,","01/01/2021 00:00:00","31/12/2021 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"30792","76385","1","2021","Normal","Harry Potter","Licensed","Hogwarts Moments","Hogwarts Moment: Charms Class","X","76385-1","29.99","24.99","39.99","29.99","02/01/2021 00:00:00","27/09/2022 00:00:00","256","3","Box","Retail","6332779","6332778","5702016913491","","19.1","26.2","6.1","","8","","11572","1912","2","10","X","13","29.3200","23.5900","","01/01/2021 00:00:00","31/12/2022 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"30917","76386","1","2021","Normal","Harry Potter","Licensed","Chamber of Secrets","Hogwarts: Polyjuice Potion Mistake","X","76386-1","19.99","17.99","24.99","19.99","05/06/2021 00:00:00","01/03/2024 00:00:00","217","4","Box","Retail","6332781","6332780","5702016913507","673419339735","26.2","14.1","7.2","","7","","15456","1677","2","13","X","5","18.9800","13.4100","","01/06/2021 00:00:00","31/12/2023 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"30918","76387","1","2021","Normal","Harry Potter","Licensed","Philosopher's Stone","Hogwarts: Fluffy Encounter","X","76387-1","39.99","34.99","49.99","39.99","05/06/2021 00:00:00","30/11/2022 00:00:00","397","4","Box","Retail","6333579","6332782","5702016912968","673419341776","28.2","26.2","7.6","","8","","10474","2023","2","13","X","8","62.4400","44.5400","","01/06/2021 00:00:00","31/12/2022 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"30919","76388","1","2021","Normal","Harry Potter","Licensed","Prisoner of Azkaban","Hogsmeade Village Visit","X","76388-1","89.99","79.99","119.99","89.99","05/06/2021 00:00:00","29/08/2024 00:00:00","851","7","Box","Retail","6332785","6332784","5702016913675","673419340458","48","28.2","7.4","","8","","13886","2519","10","13","X","0","69.5900","52.7600","","01/06/2021 00:00:00","31/07/2024 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"30920","76389","1","2021","Normal","Harry Potter","Licensed","Chamber of Secrets","Hogwarts Chamber of Secrets","X","76389-1","149.99","129.99","199.99","149.99","05/06/2021 00:00:00","26/10/2024 00:00:00","1176","11","Box","Retail","6332787","6332786","5702016913583","673419340113","58.2","37.8","8.7","","9","","10711","2700","2","16","X","5","98.6000","75.3000","Nick Vas,","01/06/2021 00:00:00","31/12/2024 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"30921","76390","1","2021","Normal","Harry Potter","Licensed","Seasonal","LEGO Harry Potter Advent Calendar","X","76390-1","39.99","24.99","49.99","29.99","03/09/2021 00:00:00","08/12/2021 00:00:00","274","6","Box","Retail","6332837","6332836","5702016913804","","38.2","26.2","7.1","","7","","6609","1169","1","6","X","0","26.8000","15.0000","","01/09/2021 00:00:00","31/12/2021 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"30922","76391","1","2021","Normal","Harry Potter","Licensed","Miscellaneous","Hogwarts Icons - Collectors' Edition","X","76391-1","299.99","259.99","379.99","299.99","03/09/2021 00:00:00","26/10/2024 00:00:00","3010","3","Box","LEGO exclusive","6349254","6332788","5702016913415","673419340175","58.2","48","12.4","","18","","7250","3519","7","16","X","18","233.7000","239.9500","Nick Vas,","02/09/2021 00:00:00","31/12/2025 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"30923","76392","1","2021","Normal","Harry Potter","Licensed","Philosopher's Stone","Hogwarts Wizard's Chess","X","76392-1","59.99","59.99","79.99","69.99","18/04/2021 00:00:00","25/11/2022 00:00:00","876","4","Box","Retail - limited","6342799","6342798","5702016971620","673419344869","38.2","26.2","7.1","","10","","8041","2532","2","13","X","5","92.9300","64.7600","Freddy Charters,","01/06/2021 00:00:00","31/12/2022 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"30924","76393","1","2021","Normal","Harry Potter","Licensed","Characters","Harry Potter & Hermione Granger","X","76393-1","119.99","114.99","159.99","129.99","18/04/2021 00:00:00","14/01/2023 00:00:00","1673","","Box","Retail - limited","6342801","6342800","5702016971637","673419344876","48","37.8","9.4","","10","","5151","1392","4","13","X","0","85.1900","74.6100","Nick Vas,","01/06/2021 00:00:00","31/12/2022 00:00:00","","","0","0","0","0","0","","","","","","","","",""
