,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
27,4738,Hagrid's Hut,1 Oct 2010 - 31 Dec 2012 (2y 3m),2010,39.99,83.88600000000001,23.760000000000005,✭✭✭✭✩ 4.1 222 ratings 16 reviews,109.77,-40.59
28,4750,Draco's Encounter with Buckbeak,5 Apr 2004 - 31 Jan 2005 (9m 27d),2004,8.0,27.610000000000003,22.660000000000004,✭✭✭✭✩ 3.5 63 ratings 8 reviews,245.13,183.25
29,4751,Harry and the Marauder's Map,5 Apr 2004 - 31 Dec 2004 (8m 26d),2004,10.0,87.42800000000001,29.238,✭✭✭✭✩ 3.6 67 ratings 3 reviews,774.28,192.38
30,4752,Professor Lupin's Classroom,5 Apr 2004 - 31 Dec 2004 (8m 26d),2004,20.0,61.853,46.244,✭✭✭✭✩ 4.0 59 ratings 5 reviews,209.26,131.22
31,4753,Sirius Black's Escape,5 Apr 2004 - 31 Dec 2004 (8m 26d),2004,20.0,152.22899999999998,37.356,✭✭✭✭✩ 4.0 69 ratings 13 reviews,661.14,86.78
32,4754,Hagrid's Hut,5 Apr 2004 - 31 Dec 2005 (1y 8m 26d),2004,30.0,123.75000000000001,44.253,✭✭✭✭✩ 4.0 46 ratings 3 reviews,312.5,47.51
33,4755,Knight Bus,5 Apr 2004 - 31 Dec 2005 (1y 8m 26d),2004,30.0,112.25500000000001,38.918000000000006,✭✭✭✭✩ 4.0 73 ratings 9 reviews,274.18,29.73
34,4756,Shrieking Shack,5 Apr 2004 - 31 Jul 2005 (1y 3m 25d),2004,50.0,306.141,139.304,✭✭✭✭✭ 4.3 62 ratings 9 reviews,512.28,178.61
35,4757,Hogwarts Castle,5 Apr 2004 - 31 Dec 2005 (1y 8m 26d),2004,90.0,522.3570000000001,193.90800000000002,✭✭✭✭✭ 4.5 99 ratings 9 reviews,480.4,115.45
36,4758,Hogwarts Express,5 Apr 2004 - 31 Dec 2005 (1y 8m 26d),2004,40.0,228.008,84.117,✭✭✭✭✩ 3.9 39 ratings 4 reviews,470.02,110.29
37,4762,Rescue from the Merpeople,1 Oct 2005 - 31 Jul 2006 (9m 29d),2005,20.0,244.92600000000002,57.662000000000006,✭✭✭✭✩ 4.0 53 ratings 5 reviews,1124.63,188.31
38,4766,Graveyard Duel,1 Oct 2005 - 31 Jul 2006 (9m 29d),2005,30.0,404.43700000000007,183.293,✭✭✭✭✭ 4.3 69 ratings 3 reviews,1248.12,510.98
39,4767,Harry and the Hungarian Horntail,1 Oct 2005 - 31 Jul 2006 (9m 29d),2005,30.0,294.92100000000005,107.15100000000001,✭✭✭✭✩ 3.7 48 ratings 3 reviews,883.07,257.17
40,4768,The Durmstrang Ship,1 Oct 2005 - 31 Jul 2006 (9m 29d),2005,49.99,330.572,217.954,✭✭✭✭✩ 3.9 43 ratings 6 reviews,561.28,336.0
41,4768,The Durmstrang Ship with Bonus Minifigures,1 Oct 2005 - 31 Jul 2006 (9m 29d),2005,49.99,330.572,217.954,✭✭✭✭✩ 3.9 43 ratings 6 reviews,561.28,336.0
42,4768,The Durmstrang Ship,1 Oct 2005 - 31 Jul 2006 (9m 29d),2005,,306.15200000000004,280.64300000000003,,,
43,4768,The Durmstrang Ship with Bonus Minifigures,1 Oct 2005 - 31 Jul 2006 (9m 29d),2005,,306.15200000000004,280.64300000000003,,,
44,4840,The Burrow,1 Oct 2010 - 31 Dec 2011 (1y 2m 29d),2010,59.99,174.328,93.17000000000002,✭✭✭✭✩ 4.2 175 ratings 14 reviews,190.6,55.31
45,4841,Hogwarts Express,1 Oct 2010 - 31 Dec 2011 (1y 2m 29d),2010,79.99,174.35000000000002,83.787,✭✭✭✭✩ 4.1 123 ratings 7 reviews,117.96,4.75
46,4842,Hogwarts Castle,1 Oct 2010 - 31 Dec 2012 (2y 3m),2010,129.99,203.01600000000002,120.09800000000001,✭✭✭✭✭ 4.5 285 ratings 19 reviews,56.18,-7.61
47,4865,The Forbidden Forest,15 Jun 2011 - 31 Dec 2012 (1y 6m 17d),2011,11.99,47.333000000000006,11.231000000000002,✭✭✭✭✩ 3.6 214 ratings 15 reviews,294.77,-6.33
