SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"9220","30058","1","2012","Normal","Star Wars","Licensed","Episode I","STAP","X","30058-1","","","","","","","24","1","Polybag","Retail - limited","","","","673419182010","","","","","6","12","2162","2074","0","0","X","13","19.9200","7.9200","","","","","","0","0","0","0","0","","","","","","","","",""
"9260","30059","1","2012","Normal","Star Wars","Licensed","The Clone Wars","MTT","X","30059-1","3.97","","","","","","51","","Polybag","Retail - limited","","","5702014857476","673419181921","","","","","","","1625","1642","0","0","X","6","9.6000","4.8300","","","","","","0","0","0","0","0","","","","","","","","",""
"10334","30240","1","2013","Normal","Star Wars","Licensed","The Clone Wars","Z-95 Headhunter","X","30240-1","4.99","","","","","","54","","Polybag","Retail - limited","6023985","6023984","5702014966642","673419188135","17","17","0.8","","6","12","4556","1418","2","0","X","3","7.1200","2.3700","","01/01/2013 00:00:00","31/12/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"10335","30241","1","2013","Normal","Star Wars","Licensed","The Clone Wars","Mandalorian Fighter","X","30241-1","4.99","","","","","","49","","Polybag","Retail - limited","6023987","6023986","5702014966659","673419188142","17","17","0.8","","6","12","2441","1657","2","0","X","2","14.9500","3.0000","","01/01/2013 00:00:00","31/12/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"10336","30242","1","2013","Normal","Star Wars","Licensed","The Clone Wars","Republic Frigate","X","30242-1","4.99","","6.99","","02/08/2013 00:00:00","24/12/2013 00:00:00","45","","Polybag","Promotional","6023989","6023988","5702014966666","673419189255","17","17","0.7","","","","3252","1692","2","2","X","5","17.2000","7.2700","","01/01/2013 00:00:00","31/12/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"10337","30243","1","2013","Normal","Star Wars","Licensed","The Clone Wars","Umbaran MHC","X","30243-1","","","","","","","49","","Polybag","Retail - limited","6023991","6023990","","673419189262","14","14","1.2","","6","12","2820","1474","2","0","X","8","7.7100","3.8900","","01/01/2013 00:00:00","31/12/2013 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"23384","30244","1","2014","Normal","Star Wars","Licensed","Episode III","Anakin's Jedi Interceptor","X","30244-1","4.49","","","","","","45","","Polybag","Retail - limited","6061824","6061823","5702015124997","","17","19.5","1","0.04","6","12","4413","1647","2","0","X","5","10.7500","6.5000","","01/01/2014 00:00:00","31/12/2014 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"23383","30246","1","2014","Normal","Star Wars","Licensed","Episode VI","Imperial Shuttle","X","30246-1","3.99","","","","","","57","","Polybag","Retail - limited","6061826","6061825","5702015125000","","17","19.5","0.9","","6","12","5631","1458","2","0","X","9","6.7300","5.5000","","01/01/2014 00:00:00","31/12/2014 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"23382","30247","1","2014","Normal","Star Wars","Licensed","Episode III","ARC-170 Starfighter","X","30247-1","3.99","","","","","","54","","Polybag","Retail - limited","6061828","6061827","5702015125017","","17","19.5","0.7","","6","12","4351","1562","2","0","X","7","6.5100","3.4800","","01/01/2014 00:00:00","31/12/2014 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"24081","30272","1","2015","Normal","Star Wars","Licensed","Episode VI","A-wing Starfighter","X","30272-1","","","","","","","58","","Polybag","Retail - limited","6102291","6102290","5702015357166","673419233781","17","19.5","0.9","","","","3273","1517","2","0","X","5","7.6100","2.6100","Niels M. Frederiksen,","01/01/2015 00:00:00","31/12/2015 00:00:00","","","0","0","0","0","0","","","","","","","","",""
